id_data_consumer,time_consumer,tension,current,MAC_node
129881,"2015-09-01 08:29:41",130.0,1.0,x00x13xa2x00x40xaexc5xbf
129882,"2015-09-01 08:29:41",130.0,1.16,x00x13xa2x00x40xaexc5xbf
129883,"2015-09-01 08:29:42",130.0,1.19,x00x13xa2x00x40xaexc5xbf
129884,"2015-09-01 08:29:42",130.0,1.39,x00x13xa2x00x40xaexc5xbf
129885,"2015-09-01 08:29:42",130.0,1.24,x00x13xa2x00x40xaexc5xbf
129886,"2015-09-01 08:29:42",130.0,1.49,x00x13xa2x00x40xaexc5xbf
129887,"2015-09-01 08:29:42",130.0,1.44,x00x13xa2x00x40xaexc5xbf
129888,"2015-09-01 08:29:42",130.0,1.2,x00x13xa2x00x40xaexc5xbf
129889,"2015-09-01 08:29:42",130.0,1.14,x00x13xa2x00x40xaexc5xbf
129890,"2015-09-01 08:29:42",130.0,1.3,x00x13xa2x00x40xaexc5xbf
129891,"2015-09-01 08:29:43",130.0,1.27,x00x13xa2x00x40xaexc5xbf
129892,"2015-09-01 08:29:43",130.0,1.41,x00x13xa2x00x40xaexc5xbf
129893,"2015-09-01 08:29:43",130.0,1.3,x00x13xa2x00x40xaexc5xbf
129894,"2015-09-01 08:29:43",130.0,1.5,x00x13xa2x00x40xaexc5xbf
129895,"2015-09-01 08:29:43",130.0,1.24,x00x13xa2x00x40xaexc5xbf
129896,"2015-09-01 08:29:43",130.0,1.47,x00x13xa2x00x40xaexc5xbf
129897,"2015-09-01 08:29:43",130.0,1.21,x00x13xa2x00x40xaexc5xbf
129898,"2015-09-01 08:29:43",130.0,1.23,x00x13xa2x00x40xaexc5xbf
129899,"2015-09-01 08:29:44",130.0,1.23,x00x13xa2x00x40xaexc5xbf
129900,"2015-09-01 08:29:44",130.0,1.38,x00x13xa2x00x40xaexc5xbf
129901,"2015-09-01 08:29:44",127.0,1.15,x00x13xa2x00x40xaexc5xbf
129902,"2015-09-01 08:29:44",121.0,1.24,x00x13xa2x00x40xaexc5xbf
129903,"2015-09-01 08:29:44",130.0,1.2,x00x13xa2x00x40xaexc5xbf
129904,"2015-09-01 08:29:44",130.0,1.16,x00x13xa2x00x40xaexc5xbf
129905,"2015-09-01 08:29:44",130.0,1.18,x00x13xa2x00x40xaexc5xbf
129906,"2015-09-01 08:29:44",130.0,1.39,x00x13xa2x00x40xaexc5xbf
129907,"2015-09-01 08:29:45",130.0,1.28,x00x13xa2x00x40xaexc5xbf
129908,"2015-09-01 08:29:45",130.0,1.2,x00x13xa2x00x40xaexc5xbf
129909,"2015-09-01 08:29:45",130.0,1.18,x00x13xa2x00x40xaexc5xbf
